epoch,acc,auc,model,db_size
1,0.09,0.5011916756629944,Hybrid,1000
2,0.09,0.4932633340358734,Hybrid,1000
3,0.07,0.5050846338272095,Hybrid,1000
4,0.18,0.5335662364959717,Hybrid,1000
5,0.205,0.56525057554245,Hybrid,1000
6,0.205,0.5831984281539917,Hybrid,1000
7,0.2,0.5871320366859436,Hybrid,1000
8,0.2,0.5906824469566345,Hybrid,1000
9,0.2,0.5995972752571106,Hybrid,1000
10,0.205,0.6036005020141602,Hybrid,1000
11,0.215,0.6111217141151428,Hybrid,1000
12,0.21,0.6142579913139343,Hybrid,1000
13,0.205,0.6141912341117859,Hybrid,1000
14,0.23,0.6173651218414307,Hybrid,1000
15,0.215,0.6193930506706238,Hybrid,1000
16,0.225,0.6214993596076965,Hybrid,1000
17,0.22,0.6222594976425171,Hybrid,1000
18,0.215,0.6230649352073669,Hybrid,1000
19,0.22,0.6227014660835266,Hybrid,1000
20,0.225,0.6214671730995178,Hybrid,1000
21,0.215,0.6226387619972229,Hybrid,1000
22,0.22,0.6235265135765076,Hybrid,1000
23,0.23,0.6230772137641907,Hybrid,1000
24,0.225,0.6208141446113586,Hybrid,1000
25,0.225,0.6242004632949829,Hybrid,1000
26,0.215,0.6234263777732849,Hybrid,1000
27,0.23,0.6236674189567566,Hybrid,1000
28,0.225,0.6238723993301392,Hybrid,1000
29,0.225,0.625203549861908,Hybrid,1000
30,0.22,0.6251335144042969,Hybrid,1000
31,0.225,0.6248403787612915,Hybrid,1000
32,0.22,0.6251507997512817,Hybrid,1000
33,0.225,0.6251893043518066,Hybrid,1000
34,0.225,0.6214854121208191,Hybrid,1000
35,0.22,0.6252418756484985,Hybrid,1000
36,0.22,0.6246764659881592,Hybrid,1000
37,0.22,0.6252333521842957,Hybrid,1000
38,0.22,0.6265160441398621,Hybrid,1000
39,0.22,0.6247977018356323,Hybrid,1000
40,0.225,0.62693190574646,Hybrid,1000
41,0.225,0.6267942190170288,Hybrid,1000
42,0.215,0.6269965171813965,Hybrid,1000
43,0.22,0.6252193450927734,Hybrid,1000
44,0.22,0.6269527673721313,Hybrid,1000
45,0.21,0.6243103742599487,Hybrid,1000
46,0.225,0.6260844469070435,Hybrid,1000
47,0.22,0.6290138959884644,Hybrid,1000
48,0.22,0.6271872520446777,Hybrid,1000
49,0.225,0.6282780170440674,Hybrid,1000
50,0.215,0.6294981241226196,Hybrid,1000
