epoch,acc,auc,model,db_size
1,0.085,0.5213135480880737,Hybrid,1000
2,0.07,0.5507676005363464,Hybrid,1000
3,0.12,0.5424310564994812,Hybrid,1000
4,0.105,0.5269561409950256,Hybrid,1000
5,0.12,0.5331943035125732,Hybrid,1000
6,0.12,0.5385111570358276,Hybrid,1000
7,0.11,0.543403685092926,Hybrid,1000
8,0.11,0.5477102398872375,Hybrid,1000
9,0.11,0.5525439381599426,Hybrid,1000
10,0.135,0.5542725920677185,Hybrid,1000
11,0.135,0.5593312382698059,Hybrid,1000
12,0.165,0.5619489550590515,Hybrid,1000
13,0.215,0.5652459263801575,Hybrid,1000
14,0.21,0.5676711201667786,Hybrid,1000
15,0.2,0.568301796913147,Hybrid,1000
16,0.215,0.5722804069519043,Hybrid,1000
17,0.21,0.5755860805511475,Hybrid,1000
18,0.205,0.5760053992271423,Hybrid,1000
19,0.205,0.5800839066505432,Hybrid,1000
20,0.21,0.580946683883667,Hybrid,1000
21,0.21,0.5802972316741943,Hybrid,1000
22,0.205,0.5825019478797913,Hybrid,1000
23,0.205,0.5820237398147583,Hybrid,1000
24,0.205,0.581784188747406,Hybrid,1000
25,0.21,0.5814451575279236,Hybrid,1000
26,0.205,0.5833236575126648,Hybrid,1000
27,0.205,0.5804445147514343,Hybrid,1000
28,0.205,0.581163763999939,Hybrid,1000
29,0.21,0.5784558057785034,Hybrid,1000
30,0.21,0.581468403339386,Hybrid,1000
31,0.2,0.5823436975479126,Hybrid,1000
32,0.205,0.5809391736984253,Hybrid,1000
33,0.21,0.5814092755317688,Hybrid,1000
34,0.21,0.5816981196403503,Hybrid,1000
35,0.225,0.5825349688529968,Hybrid,1000
36,0.205,0.581876277923584,Hybrid,1000
37,0.215,0.5818036794662476,Hybrid,1000
38,0.22,0.5826711654663086,Hybrid,1000
39,0.21,0.5818659067153931,Hybrid,1000
40,0.21,0.582196056842804,Hybrid,1000
41,0.21,0.5844706892967224,Hybrid,1000
42,0.225,0.5841881036758423,Hybrid,1000
43,0.22,0.5855540037155151,Hybrid,1000
44,0.215,0.5868858098983765,Hybrid,1000
45,0.215,0.5851925611495972,Hybrid,1000
46,0.21,0.5857543349266052,Hybrid,1000
47,0.235,0.5881069898605347,Hybrid,1000
48,0.21,0.5869889259338379,Hybrid,1000
49,0.245,0.5877256393432617,Hybrid,1000
50,0.245,0.587884247303009,Hybrid,1000
