epoch,acc,auc,model,db_size
1,0.07,0.5152968764305115,Hybrid,1000
2,0.07,0.5113509297370911,Hybrid,1000
3,0.11,0.5124537348747253,Hybrid,1000
4,0.12,0.5418155789375305,Hybrid,1000
5,0.155,0.5600770711898804,Hybrid,1000
6,0.14,0.5670852065086365,Hybrid,1000
7,0.145,0.578754723072052,Hybrid,1000
8,0.145,0.5847283601760864,Hybrid,1000
9,0.14,0.5860514044761658,Hybrid,1000
10,0.14,0.5881352424621582,Hybrid,1000
11,0.145,0.590577244758606,Hybrid,1000
12,0.155,0.58790123462677,Hybrid,1000
13,0.16,0.5971578359603882,Hybrid,1000
14,0.16,0.5910024642944336,Hybrid,1000
15,0.155,0.5974874496459961,Hybrid,1000
16,0.155,0.5916851758956909,Hybrid,1000
17,0.15,0.5918890237808228,Hybrid,1000
18,0.145,0.5902594327926636,Hybrid,1000
19,0.155,0.5882004499435425,Hybrid,1000
20,0.16,0.5878413915634155,Hybrid,1000
21,0.155,0.5891441106796265,Hybrid,1000
22,0.16,0.5873874425888062,Hybrid,1000
23,0.16,0.5864156484603882,Hybrid,1000
24,0.16,0.5859220623970032,Hybrid,1000
25,0.16,0.5850008726119995,Hybrid,1000
26,0.16,0.5869272947311401,Hybrid,1000
27,0.16,0.5876152515411377,Hybrid,1000
28,0.16,0.5853717923164368,Hybrid,1000
29,0.16,0.5866528153419495,Hybrid,1000
30,0.16,0.5892263650894165,Hybrid,1000
31,0.16,0.586152195930481,Hybrid,1000
32,0.16,0.5872598886489868,Hybrid,1000
33,0.16,0.588206946849823,Hybrid,1000
34,0.16,0.587766170501709,Hybrid,1000
35,0.16,0.5874649286270142,Hybrid,1000
36,0.16,0.5873802900314331,Hybrid,1000
37,0.16,0.587038516998291,Hybrid,1000
38,0.17,0.5895200967788696,Hybrid,1000
39,0.16,0.5879313945770264,Hybrid,1000
40,0.16,0.5891345739364624,Hybrid,1000
41,0.16,0.5904991030693054,Hybrid,1000
42,0.16,0.5886653065681458,Hybrid,1000
43,0.16,0.5910617113113403,Hybrid,1000
44,0.17,0.5874806046485901,Hybrid,1000
45,0.165,0.5894872546195984,Hybrid,1000
46,0.165,0.5889002680778503,Hybrid,1000
47,0.165,0.5888544917106628,Hybrid,1000
48,0.165,0.5886551141738892,Hybrid,1000
49,0.165,0.5900615453720093,Hybrid,1000
50,0.165,0.589063286781311,Hybrid,1000
