epoch,acc,auc,model,db_size
1,0.13,0.3783659338951111,Invariant,1000
2,0.13,0.37735891342163086,Invariant,1000
3,0.05,0.39743614196777344,Invariant,1000
4,0.09,0.41008567810058594,Invariant,1000
5,0.07,0.47897958755493164,Invariant,1000
6,0.07,0.5037790536880493,Invariant,1000
7,0.08,0.5156568288803101,Invariant,1000
8,0.08,0.5104686617851257,Invariant,1000
9,0.08,0.5184034705162048,Invariant,1000
10,0.09,0.527471125125885,Invariant,1000
11,0.085,0.5284642577171326,Invariant,1000
12,0.08,0.5310810208320618,Invariant,1000
13,0.08,0.535042405128479,Invariant,1000
14,0.11,0.5365481376647949,Invariant,1000
15,0.115,0.5354681611061096,Invariant,1000
16,0.135,0.547700822353363,Invariant,1000
17,0.14,0.539586067199707,Invariant,1000
18,0.145,0.5458875894546509,Invariant,1000
19,0.16,0.5583885312080383,Invariant,1000
20,0.165,0.5618635416030884,Invariant,1000
21,0.145,0.55674809217453,Invariant,1000
22,0.155,0.5590966939926147,Invariant,1000
23,0.165,0.5651611089706421,Invariant,1000
24,0.165,0.57631516456604,Invariant,1000
25,0.17,0.5763245820999146,Invariant,1000
26,0.17,0.5759125351905823,Invariant,1000
27,0.17,0.576383113861084,Invariant,1000
28,0.165,0.56992107629776,Invariant,1000
29,0.17,0.5746036767959595,Invariant,1000
30,0.17,0.576478123664856,Invariant,1000
31,0.175,0.5762622952461243,Invariant,1000
32,0.18,0.5803608298301697,Invariant,1000
33,0.195,0.5854831337928772,Invariant,1000
34,0.185,0.5861688256263733,Invariant,1000
35,0.185,0.586353600025177,Invariant,1000
36,0.19,0.5928992629051208,Invariant,1000
37,0.205,0.5953744649887085,Invariant,1000
38,0.195,0.5874450206756592,Invariant,1000
39,0.195,0.5914371013641357,Invariant,1000
40,0.195,0.5917009115219116,Invariant,1000
41,0.2,0.5916966199874878,Invariant,1000
42,0.21,0.589093804359436,Invariant,1000
43,0.21,0.593437671661377,Invariant,1000
44,0.2,0.592025876045227,Invariant,1000
45,0.22,0.5945237278938293,Invariant,1000
46,0.21,0.5931472182273865,Invariant,1000
47,0.2,0.5898007750511169,Invariant,1000
48,0.21,0.5898133516311646,Invariant,1000
49,0.21,0.5905076265335083,Invariant,1000
50,0.205,0.5924630165100098,Invariant,1000
