epoch,acc,auc,model,db_size
1,0.12,0.4422485828399658,Invariant,1000
2,0.12,0.4765191674232483,Invariant,1000
3,0.085,0.4360872805118561,Invariant,1000
4,0.1,0.49707546830177307,Invariant,1000
5,0.125,0.5116328001022339,Invariant,1000
6,0.135,0.5198187828063965,Invariant,1000
7,0.13,0.51939857006073,Invariant,1000
8,0.13,0.5236316919326782,Invariant,1000
9,0.135,0.5315266847610474,Invariant,1000
10,0.125,0.5256713628768921,Invariant,1000
11,0.125,0.5331670641899109,Invariant,1000
12,0.13,0.5358951091766357,Invariant,1000
13,0.135,0.5383580923080444,Invariant,1000
14,0.135,0.5442906022071838,Invariant,1000
15,0.135,0.5490660667419434,Invariant,1000
16,0.14,0.5547369718551636,Invariant,1000
17,0.135,0.5551219582557678,Invariant,1000
18,0.145,0.5572062134742737,Invariant,1000
19,0.15,0.5700620412826538,Invariant,1000
20,0.155,0.5782555937767029,Invariant,1000
21,0.145,0.5853865742683411,Invariant,1000
22,0.155,0.5782344341278076,Invariant,1000
23,0.155,0.5823186635971069,Invariant,1000
24,0.155,0.5823811292648315,Invariant,1000
25,0.15,0.5853636264801025,Invariant,1000
26,0.15,0.5914591550827026,Invariant,1000
27,0.16,0.5924437046051025,Invariant,1000
28,0.145,0.594978392124176,Invariant,1000
29,0.155,0.5951902270317078,Invariant,1000
30,0.18,0.5971631407737732,Invariant,1000
31,0.195,0.6003060936927795,Invariant,1000
32,0.195,0.5975176095962524,Invariant,1000
33,0.2,0.6012091040611267,Invariant,1000
34,0.205,0.6006790399551392,Invariant,1000
35,0.21,0.5975993275642395,Invariant,1000
36,0.21,0.598556637763977,Invariant,1000
37,0.195,0.5991689562797546,Invariant,1000
38,0.195,0.5983575582504272,Invariant,1000
39,0.21,0.5988399982452393,Invariant,1000
40,0.195,0.5982862710952759,Invariant,1000
41,0.19,0.5978994369506836,Invariant,1000
42,0.2,0.5984808206558228,Invariant,1000
43,0.21,0.5974662899971008,Invariant,1000
44,0.2,0.5968860387802124,Invariant,1000
45,0.2,0.5967514514923096,Invariant,1000
46,0.19,0.5947766304016113,Invariant,1000
47,0.195,0.5948501825332642,Invariant,1000
48,0.205,0.5927184820175171,Invariant,1000
49,0.19,0.5936192274093628,Invariant,1000
50,0.2,0.5937281847000122,Invariant,1000
