epoch,acc,auc,model,db_size
1,0.1,0.534980833530426,Invariant,1000
2,0.085,0.5204137563705444,Invariant,1000
3,0.08,0.5121590495109558,Invariant,1000
4,0.105,0.5283592343330383,Invariant,1000
5,0.12,0.530637264251709,Invariant,1000
6,0.115,0.5335122346878052,Invariant,1000
7,0.125,0.5404289960861206,Invariant,1000
8,0.12,0.547206699848175,Invariant,1000
9,0.12,0.5522466897964478,Invariant,1000
10,0.115,0.5589960813522339,Invariant,1000
11,0.115,0.5651174783706665,Invariant,1000
12,0.115,0.5725531578063965,Invariant,1000
13,0.115,0.5747913718223572,Invariant,1000
14,0.125,0.5764015913009644,Invariant,1000
15,0.125,0.5793761014938354,Invariant,1000
16,0.125,0.5792747139930725,Invariant,1000
17,0.125,0.5820799469947815,Invariant,1000
18,0.125,0.5857039093971252,Invariant,1000
19,0.13,0.5823866128921509,Invariant,1000
20,0.13,0.5836816430091858,Invariant,1000
21,0.13,0.5849572420120239,Invariant,1000
22,0.13,0.5858039855957031,Invariant,1000
23,0.155,0.5890582799911499,Invariant,1000
24,0.16,0.5832850337028503,Invariant,1000
25,0.16,0.5882003307342529,Invariant,1000
26,0.175,0.586014449596405,Invariant,1000
27,0.18,0.5846099853515625,Invariant,1000
28,0.18,0.5891384482383728,Invariant,1000
29,0.18,0.5878440141677856,Invariant,1000
30,0.18,0.5925155878067017,Invariant,1000
31,0.175,0.5904076099395752,Invariant,1000
32,0.175,0.5905491709709167,Invariant,1000
33,0.17,0.591720461845398,Invariant,1000
34,0.18,0.5930050611495972,Invariant,1000
35,0.175,0.5929619073867798,Invariant,1000
36,0.185,0.5974029302597046,Invariant,1000
37,0.175,0.5948711633682251,Invariant,1000
38,0.18,0.5980149507522583,Invariant,1000
39,0.18,0.5990117192268372,Invariant,1000
40,0.18,0.5979708433151245,Invariant,1000
41,0.18,0.5997016429901123,Invariant,1000
42,0.18,0.6012793779373169,Invariant,1000
43,0.185,0.5995672941207886,Invariant,1000
44,0.18,0.6045125722885132,Invariant,1000
45,0.185,0.604470431804657,Invariant,1000
46,0.185,0.607978105545044,Invariant,1000
47,0.185,0.602666437625885,Invariant,1000
48,0.185,0.6077533960342407,Invariant,1000
49,0.185,0.6086631417274475,Invariant,1000
50,0.2,0.6121243238449097,Invariant,1000
