epoch,acc,auc,model,db_size
1,0.085,0.49192237854003906,General,1000
2,0.075,0.49300670623779297,General,1000
3,0.095,0.4952656626701355,General,1000
4,0.105,0.49625200033187866,General,1000
5,0.11,0.5001657009124756,General,1000
6,0.11,0.5024452209472656,General,1000
7,0.12,0.5010923743247986,General,1000
8,0.11,0.5014947652816772,General,1000
9,0.12,0.5038362145423889,General,1000
10,0.11,0.5050650238990784,General,1000
11,0.12,0.5078573226928711,General,1000
12,0.125,0.5079450011253357,General,1000
13,0.12,0.5098515748977661,General,1000
14,0.125,0.5119325518608093,General,1000
15,0.13,0.5127032995223999,General,1000
16,0.14,0.5148971080780029,General,1000
17,0.13,0.5152565240859985,General,1000
18,0.14,0.5203677415847778,General,1000
19,0.135,0.5213924050331116,General,1000
20,0.13,0.5219457149505615,General,1000
21,0.13,0.52146977186203,General,1000
22,0.13,0.5241701006889343,General,1000
23,0.135,0.5259045958518982,General,1000
24,0.125,0.5276324152946472,General,1000
25,0.13,0.528139591217041,General,1000
26,0.135,0.5310764908790588,General,1000
27,0.13,0.5326646566390991,General,1000
28,0.125,0.5322598218917847,General,1000
29,0.12,0.5339756011962891,General,1000
30,0.145,0.5368825197219849,General,1000
31,0.13,0.5361658930778503,General,1000
32,0.14,0.5361768007278442,General,1000
33,0.13,0.5365839600563049,General,1000
34,0.15,0.5408569574356079,General,1000
35,0.13,0.5403074026107788,General,1000
36,0.13,0.5417715907096863,General,1000
37,0.13,0.5447304248809814,General,1000
38,0.125,0.5447527170181274,General,1000
39,0.135,0.5461839437484741,General,1000
40,0.135,0.5460274815559387,General,1000
41,0.14,0.5492135286331177,General,1000
42,0.14,0.5484060645103455,General,1000
43,0.135,0.5493612289428711,General,1000
44,0.135,0.549549400806427,General,1000
45,0.135,0.5532118082046509,General,1000
46,0.135,0.5545331835746765,General,1000
47,0.14,0.5535536408424377,General,1000
48,0.15,0.5553476810455322,General,1000
49,0.15,0.5571454763412476,General,1000
50,0.155,0.5578685998916626,General,1000
