epoch,acc,auc,model,db_size
1,0.09,0.48111385107040405,General,1000
2,0.1,0.48849764466285706,General,1000
3,0.1,0.4801134169101715,General,1000
4,0.105,0.4799615740776062,General,1000
5,0.1,0.48072367906570435,General,1000
6,0.1,0.4852880835533142,General,1000
7,0.1,0.48825567960739136,General,1000
8,0.1,0.48633846640586853,General,1000
9,0.1,0.4879280626773834,General,1000
10,0.105,0.4873432219028473,General,1000
11,0.1,0.4922446310520172,General,1000
12,0.095,0.4932686388492584,General,1000
13,0.1,0.4955466389656067,General,1000
14,0.095,0.4965094029903412,General,1000
15,0.095,0.49997109174728394,General,1000
16,0.1,0.5004681944847107,General,1000
17,0.1,0.5013656616210938,General,1000
18,0.105,0.504112720489502,General,1000
19,0.105,0.5050538778305054,General,1000
20,0.105,0.5071321725845337,General,1000
21,0.105,0.5072420835494995,General,1000
22,0.115,0.510982871055603,General,1000
23,0.105,0.5096744894981384,General,1000
24,0.095,0.5125621557235718,General,1000
25,0.11,0.5161944627761841,General,1000
26,0.095,0.5158646702766418,General,1000
27,0.1,0.5175882577896118,General,1000
28,0.115,0.5192411541938782,General,1000
29,0.12,0.5205932855606079,General,1000
30,0.125,0.5220799446105957,General,1000
31,0.115,0.5242382287979126,General,1000
32,0.12,0.524131178855896,General,1000
33,0.125,0.5238080024719238,General,1000
34,0.125,0.5273327231407166,General,1000
35,0.12,0.5259458422660828,General,1000
36,0.12,0.5298826098442078,General,1000
37,0.12,0.5296834707260132,General,1000
38,0.115,0.5319205522537231,General,1000
39,0.12,0.5313053727149963,General,1000
40,0.12,0.533098578453064,General,1000
41,0.115,0.5351027846336365,General,1000
42,0.12,0.5358142256736755,General,1000
43,0.13,0.5361960530281067,General,1000
44,0.12,0.5375036001205444,General,1000
45,0.125,0.5408716797828674,General,1000
46,0.12,0.5411869287490845,General,1000
47,0.125,0.5404143929481506,General,1000
48,0.125,0.5413086414337158,General,1000
49,0.13,0.5429632067680359,General,1000
50,0.125,0.5456637144088745,General,1000
