epoch,acc,auc,model,db_size
1,0.1075,0.5068937540054321,General,2000
2,0.1125,0.5213137865066528,General,2000
3,0.1325,0.5294709205627441,General,2000
4,0.145,0.5417667627334595,General,2000
5,0.1525,0.5494815111160278,General,2000
6,0.17,0.5541948080062866,General,2000
7,0.18,0.5645040273666382,General,2000
8,0.18,0.5683002471923828,General,2000
9,0.18,0.5720078349113464,General,2000
10,0.1875,0.5770636796951294,General,2000
11,0.19,0.5824950933456421,General,2000
12,0.2025,0.5860654711723328,General,2000
13,0.2025,0.5870543718338013,General,2000
14,0.1975,0.5923407673835754,General,2000
15,0.1925,0.5941177010536194,General,2000
16,0.2,0.5960707664489746,General,2000
17,0.1975,0.5977795720100403,General,2000
18,0.1975,0.6004534959793091,General,2000
19,0.1975,0.6013156175613403,General,2000
20,0.2,0.6025579571723938,General,2000
21,0.2,0.6023573279380798,General,2000
22,0.1975,0.6040446758270264,General,2000
23,0.195,0.606786847114563,General,2000
24,0.205,0.6096941232681274,General,2000
25,0.21,0.6085404753684998,General,2000
26,0.2075,0.6105202436447144,General,2000
27,0.21,0.611989438533783,General,2000
28,0.205,0.6144325733184814,General,2000
29,0.2075,0.6140255928039551,General,2000
30,0.21,0.6174957156181335,General,2000
31,0.21,0.6187579035758972,General,2000
32,0.225,0.6201674938201904,General,2000
33,0.2075,0.6197391152381897,General,2000
34,0.215,0.6239558458328247,General,2000
35,0.215,0.6244372725486755,General,2000
36,0.22,0.6246533393859863,General,2000
37,0.2175,0.6267971396446228,General,2000
38,0.235,0.6274306178092957,General,2000
39,0.2275,0.6276199817657471,General,2000
40,0.2275,0.6310462951660156,General,2000
41,0.235,0.6304405927658081,General,2000
42,0.24,0.6357060074806213,General,2000
43,0.2425,0.6334459185600281,General,2000
44,0.2425,0.6343815326690674,General,2000
45,0.235,0.6365572214126587,General,2000
46,0.2475,0.6374577879905701,General,2000
47,0.2525,0.6381126642227173,General,2000
48,0.2475,0.6400889754295349,General,2000
49,0.245,0.6381536722183228,General,2000
50,0.25,0.6454287767410278,General,2000
