epoch,acc,auc,model,db_size
1,0.1025,0.5223700404167175,General,2000
2,0.115,0.5467669367790222,General,2000
3,0.1325,0.5614393353462219,General,2000
4,0.1425,0.5710324048995972,General,2000
5,0.1525,0.5806275606155396,General,2000
6,0.1675,0.5881760716438293,General,2000
7,0.175,0.5966808199882507,General,2000
8,0.1825,0.6003936529159546,General,2000
9,0.1725,0.6076291799545288,General,2000
10,0.18,0.6110842227935791,General,2000
11,0.19,0.6146854162216187,General,2000
12,0.21,0.6177207231521606,General,2000
13,0.2025,0.6224139332771301,General,2000
14,0.205,0.6270391345024109,General,2000
15,0.21,0.6259847283363342,General,2000
16,0.195,0.6327714323997498,General,2000
17,0.2025,0.6352468729019165,General,2000
18,0.2075,0.6402338743209839,General,2000
19,0.22,0.6446202993392944,General,2000
20,0.215,0.6459999680519104,General,2000
21,0.2175,0.6480954885482788,General,2000
22,0.2275,0.6512244939804077,General,2000
23,0.25,0.6526260375976562,General,2000
24,0.245,0.6551969647407532,General,2000
25,0.2475,0.6574617028236389,General,2000
26,0.2375,0.6604728698730469,General,2000
27,0.24,0.6633166074752808,General,2000
28,0.25,0.6632577180862427,General,2000
29,0.2425,0.6636813879013062,General,2000
30,0.25,0.6660335659980774,General,2000
31,0.2575,0.669218897819519,General,2000
32,0.25,0.665628969669342,General,2000
33,0.2525,0.6702258586883545,General,2000
34,0.24,0.6719769239425659,General,2000
35,0.25,0.6719798445701599,General,2000
36,0.2625,0.6766932010650635,General,2000
37,0.2625,0.6747839450836182,General,2000
38,0.265,0.6755548119544983,General,2000
39,0.2725,0.6770848035812378,General,2000
40,0.265,0.6775219440460205,General,2000
41,0.2725,0.679660439491272,General,2000
42,0.265,0.67781001329422,General,2000
43,0.27,0.679533839225769,General,2000
44,0.2675,0.6789089441299438,General,2000
45,0.275,0.6768264770507812,General,2000
46,0.27,0.6818403601646423,General,2000
47,0.295,0.682305634021759,General,2000
48,0.275,0.6817564964294434,General,2000
49,0.295,0.6791224479675293,General,2000
50,0.2775,0.6844386458396912,General,2000
