epoch,acc,auc,model,db_size
1,0.11,0.5075824856758118,General,2000
2,0.1075,0.5214422941207886,General,2000
3,0.115,0.5315890312194824,General,2000
4,0.1125,0.5425595641136169,General,2000
5,0.1325,0.550025463104248,General,2000
6,0.135,0.5569585561752319,General,2000
7,0.145,0.5617990493774414,General,2000
8,0.16,0.5689015984535217,General,2000
9,0.1475,0.5769222974777222,General,2000
10,0.155,0.5823181867599487,General,2000
11,0.1725,0.5882964134216309,General,2000
12,0.1775,0.5936154127120972,General,2000
13,0.185,0.598267674446106,General,2000
14,0.19,0.6006020307540894,General,2000
15,0.19,0.6039918661117554,General,2000
16,0.195,0.605322003364563,General,2000
17,0.1925,0.6079262495040894,General,2000
18,0.195,0.6093074083328247,General,2000
19,0.195,0.6127734184265137,General,2000
20,0.1875,0.6141491532325745,General,2000
21,0.1925,0.6159753799438477,General,2000
22,0.2,0.6176045536994934,General,2000
23,0.2025,0.617526650428772,General,2000
24,0.21,0.6187417507171631,General,2000
25,0.2075,0.6188780069351196,General,2000
26,0.205,0.6193593144416809,General,2000
27,0.19,0.6214361190795898,General,2000
28,0.205,0.6219918131828308,General,2000
29,0.2075,0.6242583990097046,General,2000
30,0.2075,0.6252192258834839,General,2000
31,0.2175,0.6273033618927002,General,2000
32,0.215,0.6281253695487976,General,2000
33,0.2225,0.6319767236709595,General,2000
34,0.23,0.6306763887405396,General,2000
35,0.23,0.6313868165016174,General,2000
36,0.2325,0.6341133117675781,General,2000
37,0.2375,0.6318672895431519,General,2000
38,0.2325,0.6340287923812866,General,2000
39,0.2375,0.6357828378677368,General,2000
40,0.235,0.6378295421600342,General,2000
41,0.24,0.6374997496604919,General,2000
42,0.24,0.6379575729370117,General,2000
43,0.235,0.6389253735542297,General,2000
44,0.2525,0.6386574506759644,General,2000
45,0.24,0.6425424814224243,General,2000
46,0.2525,0.6407712697982788,General,2000
47,0.2425,0.644537091255188,General,2000
48,0.2375,0.6463884115219116,General,2000
49,0.2475,0.6479260325431824,General,2000
50,0.2475,0.6459916830062866,General,2000
