epoch,acc,auc,model,db_size
1,0.0825,0.5606334805488586,Invariant,2000
2,0.135,0.5580111742019653,Invariant,2000
3,0.15,0.5541760921478271,Invariant,2000
4,0.16,0.554225742816925,Invariant,2000
5,0.1575,0.5599529147148132,Invariant,2000
6,0.155,0.566219687461853,Invariant,2000
7,0.16,0.5693041682243347,Invariant,2000
8,0.155,0.5692940950393677,Invariant,2000
9,0.1575,0.5759707689285278,Invariant,2000
10,0.1625,0.5677942037582397,Invariant,2000
11,0.165,0.5730313062667847,Invariant,2000
12,0.1575,0.5815907120704651,Invariant,2000
13,0.155,0.5850099325180054,Invariant,2000
14,0.165,0.5898596048355103,Invariant,2000
15,0.1625,0.5904118418693542,Invariant,2000
16,0.17,0.5956255197525024,Invariant,2000
17,0.17,0.5976821184158325,Invariant,2000
18,0.16,0.5983774662017822,Invariant,2000
19,0.1725,0.6023898720741272,Invariant,2000
20,0.17,0.591741681098938,Invariant,2000
21,0.1625,0.6074061989784241,Invariant,2000
22,0.1775,0.6024384498596191,Invariant,2000
23,0.17,0.6047247648239136,Invariant,2000
24,0.1775,0.6035720109939575,Invariant,2000
25,0.1725,0.6056570410728455,Invariant,2000
26,0.1725,0.610360860824585,Invariant,2000
27,0.1825,0.6064342856407166,Invariant,2000
28,0.175,0.6127446293830872,Invariant,2000
29,0.18,0.6124947667121887,Invariant,2000
30,0.1875,0.6043465733528137,Invariant,2000
31,0.18,0.6097518801689148,Invariant,2000
32,0.175,0.6143859028816223,Invariant,2000
33,0.185,0.6139229536056519,Invariant,2000
34,0.1925,0.6120794415473938,Invariant,2000
35,0.1925,0.6098388433456421,Invariant,2000
36,0.1775,0.6105173826217651,Invariant,2000
37,0.1775,0.6128853559494019,Invariant,2000
38,0.19,0.6130886077880859,Invariant,2000
39,0.185,0.6110325455665588,Invariant,2000
40,0.175,0.61659175157547,Invariant,2000
41,0.1875,0.6163524389266968,Invariant,2000
42,0.185,0.6123237609863281,Invariant,2000
43,0.2025,0.6132873296737671,Invariant,2000
44,0.1925,0.6160252094268799,Invariant,2000
45,0.195,0.6169070601463318,Invariant,2000
46,0.18,0.6180535554885864,Invariant,2000
47,0.1975,0.6165474653244019,Invariant,2000
48,0.19,0.617773175239563,Invariant,2000
49,0.19,0.6163620352745056,Invariant,2000
50,0.185,0.6170788407325745,Invariant,2000
