epoch,acc,auc,model,db_size
1,0.0925,0.5501543283462524,Invariant,2000
2,0.1675,0.5879982709884644,Invariant,2000
3,0.1775,0.599780261516571,Invariant,2000
4,0.185,0.604922354221344,Invariant,2000
5,0.18,0.6120206117630005,Invariant,2000
6,0.19,0.6207965612411499,Invariant,2000
7,0.2025,0.6234602928161621,Invariant,2000
8,0.2,0.6267216801643372,Invariant,2000
9,0.195,0.6264477968215942,Invariant,2000
10,0.2,0.6280597448348999,Invariant,2000
11,0.19,0.6276832818984985,Invariant,2000
12,0.1975,0.6287145614624023,Invariant,2000
13,0.195,0.6286572217941284,Invariant,2000
14,0.1925,0.6286346316337585,Invariant,2000
15,0.1875,0.6299522519111633,Invariant,2000
16,0.185,0.6320778131484985,Invariant,2000
17,0.19,0.6328178644180298,Invariant,2000
18,0.1875,0.6318181157112122,Invariant,2000
19,0.205,0.6291601657867432,Invariant,2000
20,0.1975,0.633892297744751,Invariant,2000
21,0.205,0.630508542060852,Invariant,2000
22,0.2125,0.6322354674339294,Invariant,2000
23,0.2125,0.6327689290046692,Invariant,2000
24,0.195,0.6300179958343506,Invariant,2000
25,0.2025,0.6316291689872742,Invariant,2000
26,0.2075,0.6312047243118286,Invariant,2000
27,0.2,0.6322001218795776,Invariant,2000
28,0.2025,0.6305662393569946,Invariant,2000
29,0.2125,0.6343656778335571,Invariant,2000
30,0.2075,0.6340949535369873,Invariant,2000
31,0.2125,0.6344510316848755,Invariant,2000
32,0.215,0.6353517770767212,Invariant,2000
33,0.2075,0.6340259313583374,Invariant,2000
34,0.2,0.6337100267410278,Invariant,2000
35,0.2175,0.6393228769302368,Invariant,2000
36,0.2075,0.6336781978607178,Invariant,2000
37,0.215,0.6358621716499329,Invariant,2000
38,0.21,0.6340222954750061,Invariant,2000
39,0.2025,0.6340113282203674,Invariant,2000
40,0.215,0.6355863809585571,Invariant,2000
41,0.215,0.634185254573822,Invariant,2000
42,0.22,0.64098060131073,Invariant,2000
43,0.2,0.6340243816375732,Invariant,2000
44,0.21,0.6352366209030151,Invariant,2000
45,0.2175,0.6357291340827942,Invariant,2000
46,0.22,0.6398017406463623,Invariant,2000
47,0.2275,0.6390491127967834,Invariant,2000
48,0.22,0.6373684406280518,Invariant,2000
49,0.2175,0.6345555782318115,Invariant,2000
50,0.2225,0.6413325071334839,Invariant,2000
