epoch,acc,auc,model,db_size
1,0.1125,0.4896937310695648,Hybrid,2000
2,0.14,0.5439167618751526,Hybrid,2000
3,0.14,0.5446850657463074,Hybrid,2000
4,0.1475,0.551755964756012,Hybrid,2000
5,0.1525,0.5548805594444275,Hybrid,2000
6,0.165,0.5654512643814087,Hybrid,2000
7,0.1725,0.5650547742843628,Hybrid,2000
8,0.18,0.5657687783241272,Hybrid,2000
9,0.1825,0.5755220651626587,Hybrid,2000
10,0.18,0.5769887566566467,Hybrid,2000
11,0.18,0.5808060169219971,Hybrid,2000
12,0.19,0.5886942148208618,Hybrid,2000
13,0.1875,0.5875661969184875,Hybrid,2000
14,0.185,0.593958854675293,Hybrid,2000
15,0.1825,0.5997756123542786,Hybrid,2000
16,0.1825,0.6033298373222351,Hybrid,2000
17,0.19,0.5999245047569275,Hybrid,2000
18,0.1925,0.6051323413848877,Hybrid,2000
19,0.1925,0.6045538187026978,Hybrid,2000
20,0.19,0.6119765043258667,Hybrid,2000
21,0.195,0.609858512878418,Hybrid,2000
22,0.1975,0.6077485680580139,Hybrid,2000
23,0.1925,0.6122597455978394,Hybrid,2000
24,0.195,0.6158448457717896,Hybrid,2000
25,0.195,0.6205261945724487,Hybrid,2000
26,0.1875,0.6149483919143677,Hybrid,2000
27,0.1925,0.618976354598999,Hybrid,2000
28,0.1925,0.6203497648239136,Hybrid,2000
29,0.205,0.6169421076774597,Hybrid,2000
30,0.2,0.6258631944656372,Hybrid,2000
31,0.2175,0.6277862787246704,Hybrid,2000
32,0.215,0.6285977363586426,Hybrid,2000
33,0.215,0.6243482828140259,Hybrid,2000
34,0.2225,0.6306656002998352,Hybrid,2000
35,0.22,0.6326649188995361,Hybrid,2000
36,0.22,0.6315295100212097,Hybrid,2000
37,0.2225,0.6283551454544067,Hybrid,2000
38,0.2125,0.6319552659988403,Hybrid,2000
39,0.2275,0.6366795301437378,Hybrid,2000
40,0.2225,0.6328211426734924,Hybrid,2000
41,0.21,0.6337326765060425,Hybrid,2000
42,0.2225,0.6348625421524048,Hybrid,2000
43,0.2175,0.6341345906257629,Hybrid,2000
44,0.2125,0.6341674327850342,Hybrid,2000
45,0.2175,0.6295662522315979,Hybrid,2000
46,0.2225,0.6344766020774841,Hybrid,2000
47,0.2325,0.6385629773139954,Hybrid,2000
48,0.2225,0.6363654136657715,Hybrid,2000
49,0.22,0.6347064971923828,Hybrid,2000
50,0.2275,0.6331849098205566,Hybrid,2000
