epoch,acc,auc,model,db_size
1,0.0975,0.5032622218132019,Hybrid,2000
2,0.1425,0.5907323956489563,Hybrid,2000
3,0.145,0.6040071845054626,Hybrid,2000
4,0.1775,0.5924853086471558,Hybrid,2000
5,0.1825,0.5948553681373596,Hybrid,2000
6,0.1875,0.5986760258674622,Hybrid,2000
7,0.195,0.5964765548706055,Hybrid,2000
8,0.1925,0.5994873046875,Hybrid,2000
9,0.2025,0.605276346206665,Hybrid,2000
10,0.205,0.6042187809944153,Hybrid,2000
11,0.2175,0.6097472310066223,Hybrid,2000
12,0.22,0.6086072325706482,Hybrid,2000
13,0.2075,0.611268162727356,Hybrid,2000
14,0.2125,0.615027129650116,Hybrid,2000
15,0.215,0.6142246723175049,Hybrid,2000
16,0.2125,0.6187821626663208,Hybrid,2000
17,0.215,0.6202848553657532,Hybrid,2000
18,0.22,0.6201825141906738,Hybrid,2000
19,0.215,0.621285617351532,Hybrid,2000
20,0.22,0.6229578852653503,Hybrid,2000
21,0.225,0.6229885220527649,Hybrid,2000
22,0.2225,0.6236788630485535,Hybrid,2000
23,0.2275,0.6245781183242798,Hybrid,2000
24,0.2175,0.6280452609062195,Hybrid,2000
25,0.23,0.627942681312561,Hybrid,2000
26,0.22,0.6305938363075256,Hybrid,2000
27,0.2225,0.6309501528739929,Hybrid,2000
28,0.2225,0.633009135723114,Hybrid,2000
29,0.2225,0.6324055790901184,Hybrid,2000
30,0.23,0.6350823640823364,Hybrid,2000
31,0.2225,0.6356792449951172,Hybrid,2000
32,0.2225,0.6345094442367554,Hybrid,2000
33,0.2225,0.6400828957557678,Hybrid,2000
34,0.2225,0.6398351788520813,Hybrid,2000
35,0.2175,0.6390810608863831,Hybrid,2000
36,0.225,0.6417710185050964,Hybrid,2000
37,0.225,0.640975832939148,Hybrid,2000
38,0.2275,0.6394745111465454,Hybrid,2000
39,0.225,0.6415517330169678,Hybrid,2000
40,0.235,0.6393376588821411,Hybrid,2000
41,0.2275,0.645046591758728,Hybrid,2000
42,0.225,0.6443718671798706,Hybrid,2000
43,0.2275,0.6455219388008118,Hybrid,2000
44,0.2375,0.6448027491569519,Hybrid,2000
45,0.2325,0.6449363231658936,Hybrid,2000
46,0.23,0.6478562951087952,Hybrid,2000
47,0.2275,0.6459048986434937,Hybrid,2000
48,0.235,0.6465227603912354,Hybrid,2000
49,0.2275,0.6487136483192444,Hybrid,2000
50,0.225,0.649452805519104,Hybrid,2000
