epoch,acc,auc,model,db_size
1,0.085,0.512209951877594,Hybrid,2000
2,0.095,0.50444495677948,Hybrid,2000
3,0.1175,0.5177756547927856,Hybrid,2000
4,0.1225,0.5401922464370728,Hybrid,2000
5,0.1075,0.5429739952087402,Hybrid,2000
6,0.1075,0.5524967908859253,Hybrid,2000
7,0.14,0.5632389187812805,Hybrid,2000
8,0.13,0.5585875511169434,Hybrid,2000
9,0.15,0.5707237124443054,Hybrid,2000
10,0.1475,0.5758487582206726,Hybrid,2000
11,0.1525,0.5769804120063782,Hybrid,2000
12,0.1575,0.5774779915809631,Hybrid,2000
13,0.14,0.5802778005599976,Hybrid,2000
14,0.1525,0.5811957120895386,Hybrid,2000
15,0.1575,0.5831128358840942,Hybrid,2000
16,0.1625,0.5868878364562988,Hybrid,2000
17,0.16,0.5897512435913086,Hybrid,2000
18,0.16,0.5888152718544006,Hybrid,2000
19,0.17,0.5936570763587952,Hybrid,2000
20,0.17,0.5952027440071106,Hybrid,2000
21,0.18,0.5969127416610718,Hybrid,2000
22,0.185,0.5989474058151245,Hybrid,2000
23,0.1775,0.6006407141685486,Hybrid,2000
24,0.18,0.6008055806159973,Hybrid,2000
25,0.18,0.6022824645042419,Hybrid,2000
26,0.18,0.6041911244392395,Hybrid,2000
27,0.1825,0.6094678640365601,Hybrid,2000
28,0.1925,0.6096932291984558,Hybrid,2000
29,0.1875,0.6111848950386047,Hybrid,2000
30,0.185,0.6156895756721497,Hybrid,2000
31,0.1825,0.6136053204536438,Hybrid,2000
32,0.185,0.6159301996231079,Hybrid,2000
33,0.1725,0.6183828115463257,Hybrid,2000
34,0.1875,0.6189123392105103,Hybrid,2000
35,0.18,0.6223407983779907,Hybrid,2000
36,0.1875,0.622998833656311,Hybrid,2000
37,0.185,0.624390721321106,Hybrid,2000
38,0.19,0.62685626745224,Hybrid,2000
39,0.19,0.6271502375602722,Hybrid,2000
40,0.18,0.6290222406387329,Hybrid,2000
41,0.185,0.6305919289588928,Hybrid,2000
42,0.18,0.6307765245437622,Hybrid,2000
43,0.19,0.6304102540016174,Hybrid,2000
44,0.19,0.6344268918037415,Hybrid,2000
45,0.195,0.634285569190979,Hybrid,2000
46,0.1975,0.6337515711784363,Hybrid,2000
47,0.2,0.6355237364768982,Hybrid,2000
48,0.1975,0.6364112496376038,Hybrid,2000
49,0.2025,0.6367523074150085,Hybrid,2000
50,0.1925,0.6363299489021301,Hybrid,2000
