epoch,acc,auc,model,db_size
1,0.085,0.4646736979484558,Hybrid,2000
2,0.1475,0.5510799884796143,Hybrid,2000
3,0.1375,0.5632649064064026,Hybrid,2000
4,0.14,0.5620186924934387,Hybrid,2000
5,0.145,0.5697669386863708,Hybrid,2000
6,0.165,0.5788262486457825,Hybrid,2000
7,0.1675,0.578663170337677,Hybrid,2000
8,0.1775,0.5839458107948303,Hybrid,2000
9,0.175,0.5893499851226807,Hybrid,2000
10,0.175,0.5946120619773865,Hybrid,2000
11,0.1875,0.5936124920845032,Hybrid,2000
12,0.1725,0.5991947054862976,Hybrid,2000
13,0.1925,0.6012626886367798,Hybrid,2000
14,0.1875,0.6049053072929382,Hybrid,2000
15,0.2,0.6083174347877502,Hybrid,2000
16,0.1875,0.6111850142478943,Hybrid,2000
17,0.2,0.6127179861068726,Hybrid,2000
18,0.2025,0.6150397658348083,Hybrid,2000
19,0.2075,0.6175433397293091,Hybrid,2000
20,0.21,0.6206361055374146,Hybrid,2000
21,0.205,0.6217490434646606,Hybrid,2000
22,0.2,0.6251105070114136,Hybrid,2000
23,0.21,0.626954972743988,Hybrid,2000
24,0.205,0.6286848783493042,Hybrid,2000
25,0.205,0.6311180591583252,Hybrid,2000
26,0.2075,0.6337006092071533,Hybrid,2000
27,0.215,0.6347092390060425,Hybrid,2000
28,0.21,0.6365144848823547,Hybrid,2000
29,0.2125,0.6368178725242615,Hybrid,2000
30,0.225,0.640450119972229,Hybrid,2000
31,0.225,0.6420502662658691,Hybrid,2000
32,0.23,0.6437915563583374,Hybrid,2000
33,0.23,0.6445927023887634,Hybrid,2000
34,0.2275,0.6472964286804199,Hybrid,2000
35,0.225,0.6490582227706909,Hybrid,2000
36,0.225,0.6462219953536987,Hybrid,2000
37,0.225,0.6488303542137146,Hybrid,2000
38,0.225,0.6483949422836304,Hybrid,2000
39,0.225,0.6472312211990356,Hybrid,2000
40,0.2275,0.6502507328987122,Hybrid,2000
41,0.2275,0.6505166292190552,Hybrid,2000
42,0.225,0.6496410965919495,Hybrid,2000
43,0.225,0.6519200205802917,Hybrid,2000
44,0.2275,0.6577240228652954,Hybrid,2000
45,0.2125,0.6535621285438538,Hybrid,2000
46,0.2175,0.6536178588867188,Hybrid,2000
47,0.2225,0.6557613611221313,Hybrid,2000
48,0.2275,0.6552180051803589,Hybrid,2000
49,0.2275,0.6562663912773132,Hybrid,2000
50,0.2225,0.6547819972038269,Hybrid,2000
